Infection,Day,V,D,N,E,,
1,6,0,NA,2.5,NA,,
1,6,0,NA,3.37,NA,,
1,6,0,NA,4.16,NA,,
1,6,0,NA,0.59,NA,,
1,6,0,NA,0.3,NA,,
1,8,0,1.778497641,1,33.99608185,,
1,8,0,13.86264703,1.73,20.75523705,,
1,8,0,0,0.94,21.15607542,,
1,8,0,33.68856323,0.41,83.96582504,,
1,8,0,21.5453921,1.24,108.6355476,,
1,8,0,19.22770296,1.59,164.798163,,
1,8,0,3.762202369,2.61,35.61374087,,
1,15,0,37.955563,0.023,206.4125518,,
1,15,0,25.6246273,0.03,410.9689511,,
1,15,0,38.2479723,0.12,249.9940933,,
1,15,0,21.005027,0.081,38.9352241,,
1,15,0,36.2409983,0.042,61.6478632,,
1,15,0,70.3227188,0.11,169.8557692,,
1,15,0,45.9039493,0.19,31.85191879,,
1,21,0,19.55941975,1.47,0,,
1,21,0,29.4179305,1.6,0,,
1,21,0,19.57438025,1.72,0,,
1,21,0,20.441166,1.25,0,,
1,21,0,20.13303825,6.61,0,,
1,21,0,22.81133025,3.39,0,,
1,21,0,29.24640975,1.45,0,,
2,16,0,NA,0.25,NA,,
2,16,0,NA,0.63,NA,,
2,16,0,NA,0,NA,,
2,16,0,NA,2.43,NA,,
2,16,0,NA,37.5,NA,,
2,16,0,NA,1.71,NA,,
2,16,0,NA,0.51,NA,,
2,16,0,NA,4.45,NA,,
2,16,0,NA,12,NA,,
2,16,0,NA,7.23,NA,,
2,16,0,NA,7.19,NA,,
2,16,0,NA,2.55,NA,,
2,16,0,NA,5.58,NA,,
2,20,0,30.1820005,1.18,28.73936048,,
2,20,0,43.117674,0.12,889.3780091,,
2,20,0,34.8617515,0.23,158.4052424,,
2,20,0,24.8319355,2.73,2.032569851,,
2,20,0,32.061508,0.085,8.062249318,,
2,20,0,20.3274285,0.16,226.2579845,,
2,20,0,NA,0.89,NA,,
2,20,0,NA,2.01,NA,,
2,20,0,NA,10.6,NA,,
2,20,0,NA,10,NA,,
2,20,0,NA,0.35,NA,,
2,20,0,NA,1.01,NA,,
2,25,0,40.34209056,13.3,20.33641383,,
2,25,0,22.95020559,0.13,7.273254539,,
2,25,0,42.8796837,1.75,155.8054044,,
2,25,0,31.39897755,0.55,3.392900882,,
2,25,0,33.52961652,0.5,457.7658664,,
2,25,0,33.9372367,0.49,114.0313853,,
